GeneName	YFR-1	YFR-2	YFR-3	YFR-4	YFR-5	YFR-6
PCNA	11.30099801	11.36448041	11.17644475	10.62462693	10.69978167	10.76669335
PCNA-AS1	0	0	0	0	0	0
PCNAP1	0	0	0	0	0	0
PCNP	12.89587393	13.01526973	12.93484635	12.74525749	12.80686059	12.81423073
PCNT	10.62503636	10.53461425	10.62536137	11.29204576	11.25603056	11.34421894
PCNX1	11.56388899	11.66793089	11.58620362	11.60529262	11.73881405	11.76288279
PCNX2	10.49445863	10.4540466	10.37084584	9.383791568	9.323536825	9.241252384
PCNX3	11.24506808	11.01705889	11.16345824	11.56789246	11.4984468	11.45162966
PCNX4	9.812590465	10.05964713	9.852549562	10.42730505	10.56654433	10.49727485
PCOLCE	10.48609731	10.40239541	10.47201448	9.828695662	9.694999351	9.766657861
PCOLCE2	8.459261627	8.343926678	8.438556518	8.339230821	8.171220678	8.409671533
PCOLCE-AS1	5.960081468	6.151156937	5.971135135	5.169837787	5.066556683	5.182790732
PCOTH	2.124509107	2.414967373	2.226350095	2.063666898	2.231067973	2.124437924
PCP2	1.223757729	1.234944731	1.129962825	1.130619385	1.180276033	1.148813876
PCP4	1.300692392	1.311813598	1.363286391	1.206139418	1.163915804	1.14462033
PCP4L1	6.411936447	6.27028004	6.386180128	5.998571954	6.04385167	6.114375771
PCSK1	6.211187404	6.315915808	6.055886578	5.521642825	5.7519309	5.638942505
PCSK1N	7.102772601	6.747420302	7.200176232	6.258158481	6.175953282	5.786940628
PCSK2	3.987736034	4.114722482	3.93438207	4.678944049	4.463425516	4.55105302
PCSK4	7.252309992	7.160583099	7.348084914	7.616168087	7.594964438	7.366040944
PCSK5	8.977662524	8.851674395	9.068270224	8.457749904	8.272444554	8.119531977
PCSK6	8.100072291	7.945602808	7.929259187	8.503359875	8.598355666	8.537220443
PCSK6-AS1	-1.970235529	-1.971866635	-1.972472548	-1.972393058	-1.973656441	-1.970241322
PCSK7	10.81478621	10.59445224	10.77206546	11.19434588	11.05529202	11.15150092
PCSK9	13.35101001	13.02747476	13.24414117	13.90442256	13.73891545	13.77035944
PCTP	9.378141674	9.370133593	9.395399129	9.625388509	9.694450788	9.665547164
PCYOX1	11.31205806	11.34134786	11.3191361	11.50043744	11.57803728	11.61515593
PCYOX1L	8.239884349	8.017252133	8.146831557	7.505562481	7.579633078	7.666733265
PCYT1A	9.680226674	9.595279247	9.460863526	9.85610806	9.8434856	9.814210234
PCYT1B	10.18550482	10.06441526	10.04325026	9.600766105	9.657109017	9.735537459
PCYT1B-AS1	0	0	0	0	0	0
PCYT2	10.5604167	10.43591753	10.66989983	11.59887862	11.37416044	11.41910711
PDAP1	12.46406981	12.36665498	12.39990787	12.47922222	12.45141456	12.40270214
PDC	0	0	0	0	0	0
PDCD1	5.313876983	5.060470422	5.248540021	5.123568161	5.117222121	5.158795449
PDCD10	10.21922147	10.26908305	10.17403668	10.18339048	10.43025141	10.47900159
PDCD11	12.69754926	12.7094026	12.69194083	12.23465958	12.19255902	12.25298126
PDCD1LG2	-1.970093863	-1.971491652	-1.972010893	-1.957279247	-1.958361913	-1.970098827
PDCD2	11.46071121	11.47980054	11.47014737	11.22125608	11.19247764	11.16630104
PDCD2L	10.11559282	10.01564308	10.01932623	9.380805261	9.180669149	9.12394217
PDCD4	9.272038245	9.38872305	9.392478506	9.749697848	9.8669229	9.91740166
PDCD4-AS1	5.843789769	6.180581199	6.318000674	5.858534797	5.892688732	5.624864144
PDCD5	10.32000409	10.3799285	10.30958828	10.33888059	10.50883029	10.37137873
PDCD6	10.45685327	10.43820793	10.51709528	10.43531237	10.51200825	10.46558696
PDCD6IP	12.00868452	12.07982432	11.97831493	12.13558997	12.17955815	12.22297834
PDCD6IPP2	8.515646725	8.726812213	8.536061077	8.531322888	8.659440685	8.674183179
PDCD7	10.0849222	10.21197703	10.18911049	9.932589362	9.975239699	9.849276394
PDCL	9.827423002	9.867671484	9.759144352	10.0611958	10.01681985	10.10389812
PDCL2	0.613984414	0.646010827	0.709736376	0.608294193	0.605089329	0.613968879
PDCL3	9.671789416	9.792862595	9.59203566	9.959378635	9.982161731	10.0434599
PDCL3P4	7.198851639	7.289156249	7.162975696	7.387998876	7.440585179	7.4428445
PDDC1	10.55215892	10.55204793	10.6858689	10.10471073	9.966538801	9.96264693
PDE10A	6.88681062	7.002313972	7.005849272	8.006044373	8.296284777	8.355792978
PDE11A	3.92036486	3.609850519	4.036852038	3.713609814	3.63780489	3.920103146
PDE12	9.435464182	9.43572136	9.327039509	9.210437696	9.292001742	9.107155905
PDE1A	1.252040832	1.317715598	1.312315538	1.242881322	1.301994951	1.292868862
PDE1B	6.52459484	6.375578851	6.499339801	7.369920309	7.175093328	7.099506232
PDE1C	5.150887625	5.266075416	5.157032889	5.563029449	5.597835223	5.592603834
PDE2A	9.608425779	9.446522445	9.544514348	9.738058972	9.747026559	9.790552384
PDE3A	6.216006482	6.297164486	6.240214312	4.967983879	4.959653891	5.000084429
PDE3B	8.856433571	8.832080979	8.911931654	9.534570102	9.672804721	9.714243897
PDE4A	9.484573961	9.494025479	9.504677267	9.309479878	9.334456673	9.348701211
PDE4B	6.6644535	6.762902914	6.392560412	6.975288544	7.068910601	6.87742017
PDE4C	7.372580423	7.621883232	7.534074884	6.83430957	6.901206176	6.858761129
PDE4D	6.087947787	6.217373156	5.904742266	6.274157398	6.430868716	6.436921225
PDE4DIP	9.592917051	9.568258139	9.686545624	9.929466524	10.05067335	10.01306201
PDE5A	9.449821835	9.466758	9.429370212	8.581715002	8.795391341	8.67709449
PDE6A	0.126056279	0.159205985	0.121902363	0.25585973	0.151654404	0.126045321
PDE6B	7.350080372	7.640711318	7.668612162	7.788953459	7.720638939	7.686647139
PDE6C	-0.832590816	-0.835206245	-0.801454163	-0.835688177	-0.836815186	-0.832603703
PDE6D	9.529487279	9.533693254	9.386783189	9.350998795	9.246333668	9.295948656
PDE6G	7.496797107	7.447887589	7.240685872	7.736984673	7.687266298	7.826044674
PDE6H	-2.209449179	-2.210360423	-2.210698926	-2.210654517	-2.211360326	-2.209452415
PDE7A	10.75335663	10.82893676	10.78260978	10.66044265	10.72609403	10.68653365
PDE7B	0.792920678	0.929808001	0.785969508	0.786211731	0.877988688	1.02227185
PDE8A	7.774739093	7.44843869	7.614910428	8.411091602	8.745997055	8.578664845
PDE8B	5.28432062	5.597929569	5.559580886	5.83728965	6.105991911	5.942223061
PDE9A	9.736700405	9.668055277	9.632459546	10.210778	10.07108152	10.11244922
PDF	7.31653124	6.764828705	7.316112732	7.372899455	7.062537099	6.432615181
PDGFA	10.73777196	10.69145205	10.73859478	8.912749928	8.914268806	8.908912207
PDGFB	9.704271986	9.886531007	9.879025911	9.716246322	9.681178463	9.687959453
PDGFC	6.350611778	6.687417641	6.615707229	6.493296428	6.567402097	6.687658931
PDGFD	7.163985707	7.072554178	6.893016031	7.560578614	7.734066513	7.986307706
PDGFRA	6.836565304	6.623201021	6.665895469	10.92503314	11.1062354	11.05842255
PDGFRB	9.976901683	9.992587096	9.978944761	10.18422574	10.03503643	10.13208989
PDGFRL	6.65893411	7.024129433	6.748032044	6.323571256	6.48373857	6.448512314
PDHA1	11.81858013	11.789372	11.7367611	11.99481664	12.03017447	11.9713026
PDHA2	0	0	0	0	0	0
PDHB	12.77374871	12.78097206	12.74658696	13.29157931	13.31471946	13.2543593
PDHX	10.79868143	10.81323253	10.78243868	10.58200902	10.6412373	10.68216061
PDIA2	4.972801483	4.835533266	4.841879853	5.393817077	5.370336437	4.893106699
PDIA3	14.59057118	14.68545272	14.59978066	14.84498586	14.8817084	14.91162347
PDIA3P1	12.08115013	12.19126965	12.05166398	12.2746	12.38942686	12.42514196
PDIA4	14.09881078	14.03112363	14.06610485	14.7230272	14.71345044	14.74280168
PDIA5	10.32424186	10.19676983	10.2022376	10.95973128	10.95751056	10.97705871
PDIA6	13.57751563	13.59189767	13.58127177	13.84705279	13.86906019	13.86836719
PDIK1L	6.450252449	6.458465776	6.730314873	6.595023266	6.560201246	6.741402992
PDILT	-1.952531505	-1.954222596	-1.97259121	-1.972508796	-1.973818642	-1.970277929
PDK1	9.246066741	9.470746127	9.11310884	10.57143761	10.70750507	10.54474669
PDK2	9.4409254	9.214975861	9.299330217	9.439195971	9.243300504	9.327119004
PDK3	10.28054096	10.36345933	10.39545209	10.14084649	10.26098725	10.29593518
PDK4	1.010892947	1.129801571	1.057937135	0.958976625	1.043552456	0.930866313
PDLIM1	12.57808693	12.56397116	12.62332603	12.8447051	12.87611941	12.89344472
PDLIM2	10.41473257	10.3227344	10.38735496	10.27913948	10.17642258	10.25833318
PDLIM3	6.368618121	6.001803147	6.148098645	7.050475457	7.052932491	7.050412572
PDLIM4	8.716543718	8.373529217	8.731597157	8.614834026	8.421800645	8.2936899
PDLIM5	10.57334609	10.76858624	10.61744392	11.41333981	11.34810456	11.46892585
PDLIM7	10.19579329	10.03927865	10.21404564	11.37377826	11.24717188	11.24004795
PDP1	8.696031355	8.593379051	8.732660456	9.343032078	9.514759842	9.449201337
PDP2	10.31202692	10.50506313	10.39773606	10.3680705	10.52478618	10.45114702
PDPK1	10.99324676	10.81189039	10.88758694	11.4197728	11.38724103	11.41691362
PDPN	11.6828048	11.64628162	11.59269232	9.329184852	9.436228116	9.497098067
PDPR	11.9225649	11.91538695	11.90405718	11.23042562	11.26596961	11.24278778
